sm685,Scott Burgess,
sm686,Gary Burghoff,
sm687,Billie Burke,1885
sm688,James Burke,1886
sm689,Paul Burke,1926
sm690,Tom Burlinson,
sm691,Smiley Burnette,
sm692,Bob Burns,1893
sm693,Catherine Burns,1945
sm694,George Burns,1896
sm695,Marilyn Burns,
sm696,Mark Burns,1936
sm697,Stephan W. Burns,
sm698,Tim Burns,
sm699,Raymond Burr,1917
sm700,Terri Burrell,
sm701,Jackie Burroughs,
sm702,Bill Burrows,
sm703,Jeff Burton,
sm704,Kate Burton,1958
sm705,LeVar Burton,
sm706,Richard Burton,1925
sm707,Robert Burton,1894
sm708,Mae Busch,1879
sm709,Billy "Green" Bush,
sm710,Anthony Bushell,1904
sm711,Francis X. Bushman,1883
sm712,Charles Butterworth,1896
sm713,Red Buttons,1918
sm714,Pat Buttram,
sm715,Spring Byington,1893
sm716,Ralph Byrd,1909
sm717,Tom Byrd,
sm718,Anne Byrne,
sm719,Eddie Byrne,1911
sm720,Martha Byrne,
sm721,Kathleen Byron,
sm722,Walter Byron,1899
sm723,Bruce Cabot,1904
sm724,Sebastian Cabot,1918
sm725,Jean Cadell,1884
sm726,Sid Caesar,1922
sm727,Cheri Caffaro,
sm728,Jeanne Cagney,1919
sm729,Jimmy Cagney,1899
sm730,William Cagney,
sm731,Howard Caine,1926
sm732,Anna Calder-Marshall,1949
sm733,Louis Calhern,1895
sm734,Rory Calhoun,1922
sm735,Joseph Cali,
sm736,Michael Callan,1935
sm737,Maria Callas,1923
sm738,Joseph Calleia,1897
sm739,Simon Callow,
sm740,Cab Calloway,1907
sm741,Donald Calthrop,1888
sm742,Phyllis Calvert,1915
sm743,Corinne Calvet,1925
sm744,Henry Calvin,1918
sm745,Godfrey Cambridge,1929
sm746,Rod Cameron,1910
sm747,Coleen Camp,
sm748,Hamilton Camp,
sm749,Rosemary Camp,1913
sm750,Frank Campanella,
sm751,Joseph Campanella,1927
sm752,Beatrice Campbell,1923
sm753,Bill Campbell,
sm754,Cheryl Campbell,
sm755,Colin Campbell,1883
sm756,Daisy Campbell,
sm757,Eric Campbell,1878
sm758,Glen Campbell,1935
sm759,William Campbell,1926
sm760,Gianna Maria Canale,1927
sm761,John Candy,1951
sm762,James Canning,
sm763,Dyan Cannon,1938
sm764,Freedy Cannon,
sm765,J.D. Cannon,1922
sm766,Kathy Cannon,
sm767,Judy Canova,1916
sm768,Cantilene,1916
sm769,Cantinflas,1911
sm770,Eddie Cantor,1892
sm771,Truman Capote,1925
sm772,Ahna Capri,
sm773,Kate Capshaw,
sm774,Capucine,1933
sm775,Irene Cara,
sm776,Richard Cardella,
sm777,Pat Cardi,
sm778,Claudia Cardinale,1939
sm779,Arthur Carewe,
sm780,Harry Carey,1878
sm781,Harry Carey jr.,
sm782,Joyce Carey,1898
sm783,Leonard Carey,1893
sm784,MacDonald Carey,1913
sm785,Phil Carey,1925
sm786,Ron Carey,
sm787,Timothy Carey,1925
sm788,Patrick Cargill,1918
sm789,Tim Carhart,
sm790,Leo Carillo,
sm791,Anne Carlisle,
sm792,Kitty Carlisle,1915
sm793,Johanna Carlo,
sm794,Charles Carlson,
sm795,Karen Carlson,
sm796,Moose Carlson,
sm797,Richard Carlson,
sm798,Ingmari Carlssen,
sm799,Pamela Carme,
sm800,Julie Carmen,
sm801,Hoagy Carmichael,1899
sm802,Ian Carmichael,1920
sm803,Tullio Carminati,1894
sm804,Judy Carne,1939
sm805,Art Carney,1918
sm806,George Carney,1887
sm807,Angela Carnon,
sm808,Morris Carnovsky,1897
sm809,Martine Carol,1922
